Ticker,Shares
RY.TO,404.2040658542267
LMT,191.90149183685747
KO,941.6582805523154
CAT,165.41620769661677
AAPL,317.49139869821033
PEP,427.30635202852216
LLY,100.40869248108918
TD.TO,571.6130957263965
ABBV,166.0716696589444
UNP,298.3270395094338
